ID,DateAdded,Category,Description,Master_ID,Notes,DatePublished,TargetPublication,Link
82,2/29/16,Energy and environment,Metered water billed to City accounts for Park and Recreation,1131,,,2018,
83,2/29/16,Energy and environment,"Monthly reservoir reports for Hodges, Sutherland, Olivenhain reservoirs",1660,,,2018,
84,2/29/16,Energy and environment,Spreadsheet tracking compliance of a goal of achieving a 20% reduction in urban per capita water,1826,,,2019,
85,2/29/16,Energy and environment,Children's Pool seal counts,1062,,,2019,
86,2/29/16,Energy and environment,"Wastewater testing, including total suspended solids and biochemical oxygen demand",1699,,,2019,
87,2/29/16,Energy and environment,Recycled water billed to City accounts,1128,,,2019,
88,2/29/16,Energy and environment,"Tonnages of disposed materials brought to Miramar landfill, plus revenue from transaction fees",704,,,2020,
89,2/29/16,Energy and environment,"Trash, recycling and yard waste tonnage collected by City forces",691,,,2020,
90,2/29/16,Energy and environment,"Metered potable water billed to all accounts, rolling 12-months, in acre-feet",1129,,,2020,
91,2/29/16,Energy and environment,"Metered recycled irrigation billed to all accounts, rolling 12 months, in acre-feet",1134,,,2020,
92,2/29/16,Finance,Parking meter transactions,201,,6/22/16,2016,parking-meter-transactions
93,2/29/16,Finance,City's operating and capital budgets,714,,,2017,
94,2/29/16,Finance,Daily water utility revenue by rate category,1123,,,2018,
95,2/29/16,Finance,Sales tax projection tables,738,,,2019,
96,2/29/16,Finance,Recycled water utility revenue by rate category,1124,,,2019,
97,2/29/16,Finance,Payments to vendors who work with the City,143,,,2019,
98,2/29/16,Finance,Historical ratings of city bond issues,280,,,2020,
99,2/29/16,Finance,Tourism Marketing District totals by period,162,,,2020,
100,2/29/16,Finance,Transient Occupancy Tax certificate counts by type and status,159,,,2020,
101,2/29/16,Finance,Transient Occupancy Tax totals by period,165,,,2020,
102,2/29/16,Finance,Listing of bond refundings,284,,,2020,
103,2/29/16,Finance,Listing of continuing disclosure filings made for each bond issuance,281,,,2020,
104,2/29/16,Finance,Listing of properties whose lease revenues secure lease-revenue bonds,285,,,2020,
105,2/29/16,Public safety,Fire incidents,742,,6/22/16,2016,fire-incidents
106,2/29/16,Public safety,Fire/EMS response time statistics,745,,,2017,
107,2/29/16,Public safety,City of San Diego Fire-Rescue administrative battalion districts as a geographic dataset,408,,,2017,
108,2/29/16,Public safety,City of San Diego Fire-Rescue administrative engine districts as a geographic dataset,409,,,2017,
109,2/29/16,Public safety,Police adult arrest log,1097,,,2019,
110,2/29/16,Public safety,"Police tracking of collisions, including date/time and location",1096,,,2019,
111,2/29/16,Public safety,Cliff rescues date and location,758,,,2020,
112,2/29/16,Public safety,Beach misdemeanor and infraction tracking,757,,,2020,
113,2/29/16,Transportation,Bike route lines,385,,6/22/16,2016,bike-route-map
114,2/29/16,Transportation,Street sweeping schedules,,,6/22/16,2016,street-sweeping-schedule
115,2/29/16,Transportation,Traffic volumes,1958,,6/22/16,2016,traffic-volumes
116,6/8/16,City infrastructure,Parking meter locations,,b,6/22/16,2016,parking-meter-locations
117,6/8/16,City infrastructure,Parcels to City-owned properties,,b,6/22/16,2016,parcels-city-owned-properties
118,6/8/16,City infrastructure,Get It Done Requests (311),,b,6/22/16,2016,311-requests
119,6/8/16,City infrastructure,Available services through Get It Done (311),,b,6/22/16,2016,311-services
120,6/8/16,City infrastructure,Monitoring of select chemical parameters in drinking water,,b,6/22/16,2016,monitoring-select-chemical-parameters-drinking-water
121,6/8/16,City infrastructure,Drinking water sample sites,537,,6/22/16,2016,drinking-water-sample-sites
122,6/8/16,City infrastructure,City-owned property details,,y,6/22/16,2016,city-owned-property-details
123,6/8/16,City infrastructure,City Right-of-Way boundaries,,y,6/22/16,2016,city-right-way-boundaries
124,6/8/16,City infrastructure,"Street projects (slurry, overlay, concrete)",2017,,1/17/17,2017,street-repair-projects
125,6/8/16,City infrastructure,Street Overall Condition Index,2018,,1/17/17,2017,streets-overall-condition-index
126,6/8/16,City infrastructure,"Street repair line segments",,,1/17/17,2017,street-repair-line-segments
127,6/8/16,City infrastructure,Bike-friendly miles added or improved,,b,,2017,
128,6/8/16,City infrastructure,Sidewalk Overall Condition Index,,b,,2020,
129,6/8/16,City management and ethics,Results from the resident satisfaction survey,,b,,2017,
130,6/8/16,City management and ethics,Street sweeping monthly performance reports,1067,,,2019,
131,6/8/16,Culture and recreation,Library locations in San Diego County,,y,6/22/16,2016,library-locations-san-diego-county
132,6/8/16,Culture and recreation,Park locations,,y,6/22/16,2016,park-locations
133,6/8/16,Culture and recreation,Locations of public art,210,,,2018,
134,6/8/16,Culture and recreation,Library and recreation center programs,,b,,2020,
135,6/8/16,Economy and community,Code enforcement complaint type codes,,b,6/22/16,2016,complaint-type-codes
136,6/8/16,Economy and community,Revolving Loan Fund coverage boundary,394,,6/22/16,2016,revolving-loan-fund-coverage-boundary
137,6/8/16,Economy and community,Businesses opened this year according to business tax records,,b,6/22/16,2016,businesses-opened-year
138,6/8/16,Economy and community,Maintenance Assessment Districts as a geographic dataset,411,,,2018,
139,6/8/16,Energy and environment,City energy use,698,,,2018,
140,6/8/16,Finance,Billing for leases on City-owned properties,,,6/22/16,2016,billing-leases-city-owned-properties
141,6/8/16,Public safety,Fire station locations,,b,6/22/16,2016,fire-stations
142,6/8/16,Public safety,Police calls for service,1102,,6/22/16,2016,police-calls-service
143,6/8/16,Public safety,Police beats,,y,6/22/16,2016,police-beats
144,6/8/16,Public safety,Police call disposition codes,,y,6/22/16,2016,police-call-disposition-codes
145,6/8/16,Public safety,Police call types,,y,6/22/16,2016,police-call-types
146,6/8/16,Public safety,Police vehicle stop data,1098,,11/15/16,2017,police-vehicle-stops
